OrganizationType,AgeRange,Gender,EducationLevel,JobTitle,Industry,ExperienceYears,OrganizationSize,Region,RoleInTechnology,IoTFamiliarity,RegulatoryFrameworksSupport,SEPImportance,TransparencyInSEPRoyalty,PatentPoolsEffectiveness,DisputeResolutionAdequacy,SMEAccessToSEPLicensing,PatentLawSuitability,PatentHoldupIssue,InterdisciplinaryCollaboration,StandardizationAdequacy,EmergingTechnologiesImpact,StakeholderCollaborationLevel
Government,31-40,Female,HighSchool,Analyst,ConsumerGoods,8,SME,Asia,PolicyMaking,5,4,5,2,4,1,3,1,1,3,5,3,1
LargeCorporation,51-60,Other,PhD,Engineer,Education,9,Large,NorthAmerica,Licensing,4,3,3,3,4,1,3,5,3,4,5,3,5
NGO,<20,Male,Masters,Developer,Healthcare,4,Large,NorthAmerica,Research,1,4,2,1,1,2,4,1,3,3,3,4,2
LargeCorporation,<20,Other,Bachelors,Manager,Healthcare,20,Large,Africa,Licensing,1,3,5,1,2,2,4,1,4,2,4,4,5
TechCompany,41-50,Female,Diploma,PolicyMaker,Government,23,Medium,Europe,Development,3,1,2,5,5,4,5,1,1,2,2,2,3
Government,60+,Female,Diploma,Researcher,ConsumerGoods,4,Large,NorthAmerica,Management,1,5,4,5,5,4,5,4,2,5,3,3,1
TechCompany,60+,Male,Masters,Manager,Healthcare,15,SME,Australia,Research,4,3,5,1,2,2,3,2,2,1,5,2,1
Government,51-60,Other,Diploma,Engineer,Education,3,Medium,Europe,Management,1,4,4,1,3,4,4,4,2,4,2,1,3
TechCompany,60+,Other,PhD,Researcher,ConsumerGoods,15,SME,Australia,Research,2,2,2,4,4,3,1,1,5,5,5,2,5
Government,31-40,Other,PhD,Engineer,ConsumerGoods,20,SME,Asia,PolicyMaking,1,4,4,3,5,5,3,5,1,3,2,1,4
